ticker,yahoo_symbol,symbol_type,active_flag,name,industry,market_cap,last_price,volume,source_symbol
SLGN,SLGN,stock,TRUE,Silgan Holdings Inc. Common Stock,Industrials,3834061620,36.28,934185,SLGN
CPRX,CPRX,stock,TRUE,Catalyst Pharmaceuticals Inc. Common Stock,Health Care,3829301240,31.29,1025442,CPRX
DORM,DORM,stock,TRUE,Dorman Products Inc. Common Stock,Consumer Discretionary,3826192304,128.04,261578,DORM
VRNS,VRNS,stock,TRUE,Varonis Systems Inc. Common Stock,Technology,3817570488,33.25,1132537,VRNS
TPC,TPC,stock,TRUE,Tutor Perini Corporation Common Stock,Consumer Discretionary,3808252203,72.38,411238,TPC
INDB,INDB,stock,TRUE,Independent Bank Corp. Common Stock,Finance,3805276641,78.74,325032,INDB
BTU,BTU,stock,TRUE,Peabody Energy Corporation Common Stock,Energy,3802440045,31.21,6058285,BTU
KTB,KTB,stock,TRUE,Kontoor Brands Inc. Common Stock,Industrials,3794447445,68.65,604761,KTB
KNSA,KNSA,stock,TRUE,Kiniksa Pharmaceuticals International plc Class A Ordinary Shares,Health Care,3787658528,49.23,470624,KNSA
DOCS,DOCS,stock,TRUE,Doximity Inc. Class A Common Stock,Technology,3785451373,20.7,3743759,DOCS
CNS,CNS,stock,TRUE,Cohen & Steers Inc Common Stock,Finance,3779508068,73.54,211989,CNS
MMSI,MMSI,stock,TRUE,Merit Medical Systems Inc. Common Stock,Health Care,3760642059,63.04,648403,MMSI
MIAX,MIAX,stock,TRUE,Miami International Holdings Inc. Common Stock,Finance,3759269676,39.61,1631658,MIAX
ORKA,ORKA,stock,TRUE,Oruka Therapeutics Inc. Common Stock,Health Care,3756237650,62.28,1477837,ORKA
AEHR,AEHR,stock,TRUE,Aehr Test Systems Common Stock,Industrials,3742691082,116.58,1770324,AEHR
RNST,RNST,stock,TRUE,Renasant Corporation Common Stock,Finance,3740711745,40.54,584483,RNST
BMI,BMI,stock,TRUE,Badger Meter Inc. Common Stock,Industrials,3734877393,127.97,374390,BMI
JOE,JOE,stock,TRUE,St. Joe Company (The) Common Stock,Real Estate,3734503977,65.05,246273,JOE
NVST,NVST,stock,TRUE,Envista Holdings Corporation Common Stock,Health Care,3721587599,22.87,2777940,NVST
ACAD,ACAD,stock,TRUE,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,3719243096,21.72,1122738,ACAD
BOX,BOX,stock,TRUE,Box Inc. Class A Common Stock,Technology,3706301815,26.77,1692541,BOX
WSFS,WSFS,stock,TRUE,WSFS Financial Corporation Common Stock,Finance,3702933873,71.15,554209,WSFS
APLE,APLE,stock,TRUE,Apple Hospitality REIT Inc. Common Shares,Real Estate,3699178571,15.67,4218565,APLE
BANF,BANF,stock,TRUE,BancFirst Corporation Common Stock,Finance,3697189481,110.08,226104,BANF
TDW,TDW,stock,TRUE,Tidewater Inc. Common Stock,Consumer Discretionary,3693992831,74.28,560894,TDW
RNG,RNG,stock,TRUE,RingCentral Inc. Class A Common Stock,Technology,3692294334,44.03,1252910,RNG
EE,EE,stock,TRUE,Excelerate Energy Inc. Class A Common Stock,Utilities,3687900071,32.39,309939,EE
BFH,BFH,stock,TRUE,Bread Financial Holdings Inc. Common Stock,Consumer Discretionary,3683103975,91.15,560972,BFH
